Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
0.309152	2.586914	0.309152	6.294341	1.574638	0							0.316327	2.170797
0.310817	2.589996	0.310817	6.294524	1.582963	0							0.317992	2.175292
0.312482	2.593657	0.312482	6.294689	1.591289	0							0.319657	2.179786
0.314147	2.598272	0.314147	6.294912	1.599614	0							0.321321	2.184281
0.315812	2.600838	0.315812	6.295143	1.607939	0							0.322986	2.188776
0.317477	2.603231	0.317477	6.295263	1.616265	0							0.324651	2.19327
0.319141	2.606496	0.319141	6.295431	1.62459	0							0.326316	2.197765
0.320806	2.609037	0.320806	6.295649	1.632915	0							0.327981	2.202259
0.322471	2.612573	0.322471	6.295843	1.641241	0							0.329646	2.206754
0.324136	2.615303	0.324136	6.295956	1.649566	0							0.331311	2.211248
0.325801	2.618309	0.325801	6.296133	1.657891	0							0.332976	2.215743
0.327466	2.619158	0.327466	6.296225	1.666216	0							0.33464	2.221382
0.329131	2.62215	0.329131	6.296385	1.674542	0							0.336305	2.227021
0.330796	2.624502	0.330796	6.296452	1.682867	0							0.33797	2.23266
0.33246	2.628363	0.33246	6.2965	1.691193	0							0.339635	2.238299
0.334125	2.632391	0.334125	6.296574	1.699518	0							0.3413	2.243937
0.33579	2.635852	0.33579	6.296707	1.707843	0							0.342965	2.249576
0.337455	2.639905	0.337455	6.296848	1.716169	0							0.34463	2.255215
0.33912	2.642982	0.33912	6.296969	1.724494	0							0.346295	2.260854
0.340785	2.647698	0.340785	6.297087	1.732819	0							0.347959	2.266493
0.34245	2.650918	0.34245	6.297205	1.741145	0							0.349624	2.272132
0.344115	2.654053	0.344115	6.297306	1.74947	0							0.351289	2.276616
0.34578	2.657705	0.34578	6.297407	1.757795	0							0.352954	2.281099
0.347444	2.66006	0.347444	6.297481	1.76612	0							0.354619	2.285583
0.349109	2.66392	0.349109	6.297637	1.774446	0							0.356284	2.290066
0.350774	2.668069	0.350774	6.29772	1.782771	0							0.357949	2.29455
0.352439	2.671763	0.352439	6.297783	1.791096	0							0.359614	2.299033
0.354104	2.675812	0.354104	6.29791	1.799422	0							0.361278	2.303517
