Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
0.188235	1.518025	0.383713	8.498885	1.94743	0							0.195466	-0.344658
0.189067	1.521419	0.385376	8.498727	1.955748	0							0.196298	-0.344654
0.189899	1.524401	0.38704	8.498593	1.964065	0							0.19713	-0.344651
0.190731	1.527617	0.388703	8.498439	1.972383	0							0.197961	-0.344648
0.191562	1.530602	0.390367	8.498282	1.980701	0							0.198793	-0.344645
0.192394	1.533088	0.392031	8.498171	1.989018	0							0.199625	-0.344642
0.193226	1.536443	0.393694	8.498059	1.997336	0							0.200457	-0.344639
0.194058	1.540189	0.395358	8.497963	2.005654	0							0.201288	-0.344636
0.194889	1.543814	0.397021	8.497873	2.013972	0							0.20212	-0.344632
0.195721	1.547628	0.398685	8.497864	2.022289	0							0.202952	-0.344629
0.196553	1.551576	0.400348	8.497826	2.030607	0							0.203784	-0.344626
0.197385	1.554799	0.402012	8.497793	2.038925	0							0.204616	-0.344623
0.198217	1.557273	0.403676	8.497744	2.047242	0							0.205447	-0.34462
0.199048	1.559103	0.405339	8.497644	2.05556	0							0.206279	-0.344617
0.19988	1.561074	0.407003	8.497585	2.063878	0							0.207111	-0.344613
0.200712	1.562935	0.408666	8.49753	2.072196	0							0.207943	-0.34461
0.201544	1.564837	0.41033	8.497494	2.080513	0							0.208774	-0.344607
0.202375	1.567773	0.411994	8.497438	2.088831	0							0.209606	-0.344604
0.203207	1.570533	0.413657	8.497371	2.097149	0							0.210438	-0.344601
0.204039	1.572529	0.415321	8.49735	2.105466	0							0.21127	-0.344597
0.204871	1.574749	0.416984	8.497346	2.113784	0							0.212101	-0.344594
0.205702	1.576352	0.418648	8.497318	2.122102	0							0.212933	-0.344591
0.206534	1.577789	0.420312	8.49728	2.130419	0							0.213765	-0.344588
0.207366	1.579594	0.421975	8.497263	2.138737	0							0.214597	-0.344585
0.208198	1.581309	0.423639	8.4972	2.147055	0							0.215429	-0.344581
0.20903	1.58284	0.425302	8.497152	2.155373	0							0.21626	-0.344578
0.209861	1.584303	0.426966	8.497073	2.16369	0							0.217092	-0.344577
0.210693	1.585586	0.428629	8.496999	2.172008	0							0.217924	-0.344575
0.211525	1.58594	0.430293	8.496984	2.180326	0							0.218756	-0.344573
0.212357	1.585651	0.431957	8.496871	2.188643	0							0.219587	-0.344572
0.213188	1.586115	0.43362	8.496767	2.196961	0							0.220419	-0.34457
0.21402	1.586993	0.435284	8.496684	2.205279	0							0.221251	-0.344568
0.214852	1.58788	0.436947	8.496577	2.213597	0							0.222083	-0.344567
0.215684	1.588464	0.438611	8.496419	2.221914	0							0.222914	-0.344565
0.216515	1.588741	0.440275	8.496377	2.230232	0							0.223746	-0.344564
0.217347	1.589308	0.441938	8.496258	2.23855	0							0.224578	-0.344562
0.218179	1.589229	0.443602	8.496162	2.246867	0							0.22541	-0.344559
0.219011	1.588526	0.445265	8.496064	2.255185	0							0.226242	-0.344555
0.219843	1.587452	0.446929	8.495971	2.263503	0							0.227073	-0.344552
0.220674	1.586863	0.448593	8.495874	2.271821	0							0.227905	-0.344549
0.221506	1.586727	0.450256	8.495811	2.280138	0							0.228737	-0.344546
0.222338	1.586164	0.45192	8.495749	2.288456	0							0.229569	-0.344542
0.22317	1.585421	0.453583	8.495697	2.296774	0							0.2304	-0.344539
0.224001	1.585937	0.455247	8.495596	2.305091	0							0.231232	-0.344536
0.224833	1.585926	0.45691	8.495529	2.313409	0							0.232064	-0.344533
0.225665	1.584717	0.458574	8.495505	2.321727	0							0.232896	-0.344529
0.226497	1.584047	0.460238	8.495432	2.330045	0							0.233727	-0.344526
0.227329	1.583135	0.461901	8.495458	2.338362	0							0.234559	-0.344523
0.22816	1.581321	0.463565	8.495524	2.34668	0							0.235391	-0.344519
0.228992	1.579711	0.465228	8.495435	2.354998	0							0.236223	-0.344516
0.229824	1.577893	0.466892	8.495389	2.363315	0							0.237055	-0.344513
0.230656	1.575595	0.468556	8.495398	2.371633	0							0.237886	-0.344509
0.231487	1.573917	0.470219	8.495389	2.379951	0							0.238718	-0.344506
0.232319	1.573232	0.471883	8.495414	2.388268	0							0.23955	-0.344503
0.233151	1.572019	0.473546	8.495461	2.396586	0							0.240382	-0.3445
0.233983	1.570798	0.47521	8.495377	2.404904	0							0.241213	-0.344496
0.234814	1.569283	0.476874	8.495289	2.413221	0							0.242045	-0.344493
0.235646	1.56738	0.478537	8.495313	2.421539	0							0.242877	-0.34449
0.236478	1.565392	0.480201	8.495365	2.429857	0							0.243709	-0.344486
0.23731	1.5627	0.481864	8.495333	2.438174	0							0.24454	-0.344483
0.238142	1.560131	0.483528	8.495337	2.446492	0							0.245372	-0.34448
0.238973	1.558125	0.485191	8.495349	2.45481	0							0.246204	-0.344476
0.239805	1.555827	0.486855	8.495313	2.463128	0							0.247036	-0.344473
0.240637	1.553789	0.488519	8.495406	2.471445	0							0.247868	-0.34447
0.241469	1.552334	0.490182	8.495466	2.479763	0							0.248699	-0.344466
0.2423	1.550941	0.491846	8.49548	2.488081	0							0.249531	-0.344463
0.243132	1.549612	0.493509	8.495459	2.496398	0							0.250363	-0.34446
0.243964	1.547219	0.495173	8.495543	2.504716	0							0.251195	-0.344456
0.244796	1.544791	0.496837	8.495546	2.513034	0							0.252026	-0.344453
0.245627	1.542674	0.4985	8.495632	2.521352	0							0.252858	-0.344449
0.246459	1.540245	0.500164	8.4957	2.529669	0							0.25369	-0.344446
0.247291	1.538988	0.501827	8.495687	2.537987	0							0.254522	-0.344443
0.248123	1.538139	0.503491	8.495672	2.546305	0							0.255354	-0.344439
0.248955	1.536366	0.505155	8.495642	2.554622	0							0.256185	-0.344436
0.249786	1.534424	0.506818	8.495559	2.56294	0							0.257017	-0.344433
0.250618	1.532829	0.508482	8.495629	2.571258	0							0.257849	-0.344429
0.25145	1.531484	0.510145	8.495573	2.579576	0							0.258681	-0.344428
0.252282	1.529225	0.511809	8.495488	2.587893	0							0.259512	-0.344426
0.253113	1.527716	0.513472	8.495542	2.596211	0							0.260344	-0.344424
0.253945	1.526948	0.515136	8.495508	2.604529	0							0.261176	-0.344422
0.254777	1.525641	0.5168	8.49552	2.612846	0							0.262008	-0.344421
0.255609	1.524214	0.518463	8.495455	2.621164	0							0.262839	-0.344419
0.25644	1.52195	0.520127	8.495495	2.629482	0							0.263671	-0.344417
0.257272	1.519805	0.52179	8.495592	2.6378	0							0.264503	-0.344416
0.258104	1.517238	0.523454	8.495625	2.646117	0							0.265335	-0.344414
0.258936	1.515436	0.525118	8.495647	2.654435	0							0.266167	-0.344412
0.259768	1.514558	0.526781	8.495745	2.662753	0							0.266998	-0.344409
0.260599	1.513619	0.528445	8.495749	2.67107	0							0.26783	-0.344406
0.261431	1.512339	0.530108	8.495862	2.679388	0							0.268662	-0.344402
0.262263	1.510607	0.531772	8.495897	2.687706	0							0.269494	-0.344399
0.263095	1.508646	0.533436	8.496027	2.696023	0							0.270325	-0.344395
0.263926	1.506856	0.535099	8.496165	2.704341	0							0.271157	-0.344392
0.264758	1.505433	0.536763	8.496277	2.712659	0							0.271989	-0.344388
0.26559	1.503547	0.538426	8.496415	2.720977	0							0.272821	-0.344385
0.266422	1.501431	0.54009	8.496554	2.729294	0							0.273652	-0.344382
0.267253	1.500006	0.541753	8.496722	2.737612	0							0.274484	-0.344378
0.268085	1.498532	0.543417	8.496935	2.74593	0							0.275316	-0.344375
0.268917	1.496547	0.545081	8.49716	2.754247	0							0.276148	-0.344371
0.269749	1.494541	0.546744	8.497395	2.762565	0							0.27698	-0.344368
0.270581	1.492634	0.548408	8.497594	2.770883	0							0.277811	-0.344364
0.271412	1.491376	0.550071	8.497823	2.779201	0							0.278643	-0.344361
0.272244	1.489874	0.551735	8.498043	2.787518	0							0.279475	-0.344358
0.273076	1.488256	0.553399	8.498285	2.795836	0							0.280307	-0.344354
0.273908	1.486234	0.555062	8.498507	2.804154	0							0.281138	-0.344351
0.274739	1.484451	0.556726	8.498694	2.812471	0							0.28197	-0.344347
